term,coef,se,event_time,ci_low,ci_high
event_-6,1.9241014330676414,0.694233448251928,-6,0.5634038744938625,3.28479899164142
event_-5,2.0387394617053403,0.696548000252386,-5,0.6735053812106637,3.403973542200017
event_-4,2.1011663957484368,0.6923024566179554,-4,0.7442535807772441,3.4580792107196294
event_-3,1.135708176566767,0.701985032093281,-3,-0.24018248633606376,2.5115988394695976
event_-2,1.2090845003078914,0.7254424820726335,-2,-0.2127827645544702,2.630951765170253
reference,0.0,0.0,-1,0.0,0.0
event_0,-0.6456745488042135,0.7902700554289184,0,-2.1946038574448936,0.9032547598364664
event_1,-0.19800849882042465,0.8495105469896942,1,-1.8630491709202253,1.4670321732793759
event_2,0.23696061326117174,0.935003925113746,2,-1.5956470799617704,2.069568306484114
event_3,0.02650714924559514,1.068042394525608,3,-2.0668559440245966,2.1198702425157867
event_4,1.1453135572136517,1.3344836731245424,4,-1.4702744421104514,3.760901556537755
event_5,0.9263552073952994,1.9055042240979059,5,-2.808433071836596,4.661143486627195
